ID,Country,Latitude,Longitude,ground_surface_elevation_m,parameter_type,unit,unique_well_id
10007212,AUS,-33.3069779,145.5317536,,Water depth [from the ground surface],m,AUS_10007212
10007224,AUS,-35.98914,146.29776,,Water depth [from the ground surface],m,AUS_10007224
10007226,AUS,-35.5329894,145.2916308,,Water depth [from the ground surface],m,AUS_10007226
10007228,AUS,-34.6809453,146.228662,,Water depth [from the ground surface],m,AUS_10007228
10007231,AUS,-33.1422826,145.3467354,,Water depth [from the ground surface],m,AUS_10007231
10007253,AUS,-31.9749,143.0266,,Water depth [from the ground surface],m,AUS_10007253
10007254,AUS,-32.3346,150.6299,,Water depth [from the ground surface],m,AUS_10007254
10007282,AUS,-30.3687077,149.8905821,,Water depth [from the ground surface],m,AUS_10007282
10007305,AUS,-32.5302454,149.9920685,,Water depth [from the ground surface],m,AUS_10007305
10007317,AUS,-33.2643838,147.3642506,,Water depth [from the ground surface],m,AUS_10007317
10007396,AUS,-33.3581442,145.3388832,,Water depth [from the ground surface],m,AUS_10007396
10007414,AUS,-28.7994,153.4141,,Water depth [from the ground surface],m,AUS_10007414
10007429,AUS,-33.3670013,145.1790051,,Water depth [from the ground surface],m,AUS_10007429
10007430,AUS,-31.5742587,150.6878048,,Water depth [from the ground surface],m,AUS_10007430
10007465,AUS,-31.4089833,150.2122556,,Water depth [from the ground surface],m,AUS_10007465
10007525,AUS,-35.40113,145.83501,,Water depth [from the ground surface],m,AUS_10007525
10007565,AUS,-30.123,149.5572,,Water depth [from the ground surface],m,AUS_10007565
10007566,AUS,-32.1936044,147.7628539,,Water depth [from the ground surface],m,AUS_10007566
10007567,AUS,-30.4527692,149.9486202,,Water depth [from the ground surface],m,AUS_10007567
10007571,AUS,-31.164531,150.424747,,Water depth [from the ground surface],m,AUS_10007571
10007572,AUS,-34.5840043,146.2605355,,Water depth [from the ground surface],m,AUS_10007572
10007632,AUS,-30.9873299,150.4421686,,Water depth [from the ground surface],m,AUS_10007632
10007633,AUS,-33.9321167,151.2289667,,Water depth [from the ground surface],m,AUS_10007633
10007640,AUS,-30.5206,150.0534,,Water depth [from the ground surface],m,AUS_10007640
10007649,AUS,-36.7191,149.9259,,Water depth [from the ground surface],m,AUS_10007649
10007650,AUS,-32.2468,150.6234,,Water depth [from the ground surface],m,AUS_10007650
10007652,AUS,-30.0161,148.0628,,Water depth [from the ground surface],m,AUS_10007652
10007654,AUS,-32.5879218,151.4079345,,Water depth [from the ground surface],m,AUS_10007654
10007675,AUS,-34.69664,146.34222,,Water depth [from the ground surface],m,AUS_10007675
10007719,AUS,-30.5039472,150.0554556,,Water depth [from the ground surface],m,AUS_10007719
10007721,AUS,-30.2603,145.6973,,Water depth [from the ground surface],m,AUS_10007721
10007722,AUS,-32.212066,148.0918386,,Water depth [from the ground surface],m,AUS_10007722
10007726,AUS,-33.2377,145.5133,,Water depth [from the ground surface],m,AUS_10007726
10007727,AUS,-30.5142,150.0554,,Water depth [from the ground surface],m,AUS_10007727
10007729,AUS,-33.7553,147.5824,,Water depth [from the ground surface],m,AUS_10007729
10007733,AUS,-33.91135,151.2173667,,Water depth [from the ground surface],m,AUS_10007733
10007742,AUS,-34.719517,145.432524,,Water depth [from the ground surface],m,AUS_10007742
10007744,AUS,-30.2831528,149.4811417,,Water depth [from the ground surface],m,AUS_10007744
10007798,AUS,-33.2566512,147.5064455,,Water depth [from the ground surface],m,AUS_10007798
10007799,AUS,-30.5335372,150.0227333,,Water depth [from the ground surface],m,AUS_10007799
10007800,AUS,-29.8576002,149.1472604,,Water depth [from the ground surface],m,AUS_10007800
10007809,AUS,-33.3748882,145.5656662,,Water depth [from the ground surface],m,AUS_10007809
10007810,AUS,-30.9133,150.2944,,Water depth [from the ground surface],m,AUS_10007810
10007811,AUS,-29.9405509,149.3204167,,Water depth [from the ground surface],m,AUS_10007811
10007813,AUS,-34.5935626,146.1627451,,Water depth [from the ground surface],m,AUS_10007813
10007814,AUS,-35.35976,145.42009,,Water depth [from the ground surface],m,AUS_10007814
10007830,AUS,-35.6277,149.8037,,Water depth [from the ground surface],m,AUS_10007830
10007832,AUS,-35.9753313,146.6173406,,Water depth [from the ground surface],m,AUS_10007832
10007835,AUS,-30.0161,148.0628,,Water depth [from the ground surface],m,AUS_10007835
10007840,AUS,-30.8281518,149.9583634,,Water depth [from the ground surface],m,AUS_10007840
10007847,AUS,-34.4304518,145.4231199,,Water depth [from the ground surface],m,AUS_10007847
10007851,AUS,-30.0238,145.7652,,Water depth [from the ground surface],m,AUS_10007851
10007976,AUS,-34.6736638,145.6233507,,Water depth [from the ground surface],m,AUS_10007976
10007982,AUS,-35.8202634,145.1293072,,Water depth [from the ground surface],m,AUS_10007982
10008054,AUS,-32.53172,150.12151,,Water depth [from the ground surface],m,AUS_10008054
10008075,AUS,-30.8060206,144.7586159,,Water depth [from the ground surface],m,AUS_10008075
10008078,AUS,-28.8733683,153.1310876,,Water depth [from the ground surface],m,AUS_10008078
10008096,AUS,-35.6104256,145.445029,,Water depth [from the ground surface],m,AUS_10008096
10008134,AUS,-32.5382696,149.9981142,,Water depth [from the ground surface],m,AUS_10008134
10008236,AUS,-35.1299576,145.5288136,,Water depth [from the ground surface],m,AUS_10008236
10008249,AUS,-33.9061861,151.2270417,,Water depth [from the ground surface],m,AUS_10008249
10008252,AUS,-32.263,150.6343,,Water depth [from the ground surface],m,AUS_10008252
10008256,AUS,-32.7472769,151.1226092,,Water depth [from the ground surface],m,AUS_10008256
10008272,AUS,-32.1303084,150.3536593,,Water depth [from the ground surface],m,AUS_10008272
10008299,AUS,-30.1894,149.5448,,Water depth [from the ground surface],m,AUS_10008299
10008301,AUS,-29.4702059,150.1324098,,Water depth [from the ground surface],m,AUS_10008301
10008359,AUS,-32.6244,149.6382,,Water depth [from the ground surface],m,AUS_10008359
10008399,AUS,-30.1997161,149.5939048,,Water depth [from the ground surface],m,AUS_10008399
